,181022 1G4 CD69 Pos +CD58,181022 1G4 CD69 Pos +CD58,181022 1G4 CD69 Pos +CD58,181022 1G4 CD69 Pos +CD58,181022 1G4 CD69 Pos +CD58,181022 1G4 CD69 Pos +CD58,181022 1G4 CD69 Pos +CD58,181022 1G4 CD69 Pos +CD58,181022 1G4 CD69 Pos +CD58 (NORM),181022 1G4 CD69 Pos +CD58 (NORM),181022 1G4 CD69 Pos +CD58 (NORM),181022 1G4 CD69 Pos +CD58 (NORM),181022 1G4 CD69 Pos +CD58 (NORM),181022 1G4 CD69 Pos +CD58 (NORM),181022 1G4 CD69 Pos +CD58 (NORM),181022 1G4 CD69 Pos +CD58 (NORM)
curve,9V,6V,3Y,4D,6T,4A,5Y,5F,9V,6V,3Y,4D,6T,4A,5Y,5F
bottom,25.09213125,25.09213125,25.09213125,25.09213125,25.09213125,25.09213125,25.09213125,25.09213125,0,0,0,0,0,0,0,0
top,71.40852527,70.13862807,69.30119072,63.69146459,64.36453227,56.57943469,53.94367038,52.59964417,1.000078116,0.972658097,0.954575887,0.83344892,0.847982009,0.679883738,0.622971488,0.593950852
log_ec50,-2.659568815,-2.156760801,-2.012786887,-1.547361495,-2.081290448,-0.232953067,0.302820545,1.007974861,-2.659568815,-2.156760801,-2.012786887,-1.547361495,-2.081290448,-0.232953067,0.302820545,1.007974861
s,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hill,0.812111021,0.812111021,0.812111021,0.812111021,0.812111021,0.812111021,0.812111021,0.812111021,0.812111021,0.812111021,0.812111021,0.812111021,0.812111021,0.812111021,0.812111021,0.812111021
empirical min,25.09213125,25.09213125,25.09213125,25.09213125,25.09213125,25.09213125,25.09213125,25.09213125,0,0,0,0,0,0,0,0
empirical max,71.40490749,70.12961959,69.289619,63.66734969,64.35548839,56.02799064,52.60790947,48.37453169,1,0.972463583,0.954326027,0.832928223,0.84778673,0.667976785,0.594129319,0.502720898
Total N,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Excluded N,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
log_potency,,,,,,,,,-3.587234562,-3.066892665,-2.911033229,-2.358352586,-2.9035339,-0.907847654,-0.31131187,0.427704894
